Normalizasyon,Metrik,RMSE,MAE,R²,Sure (sn)
ZScore,Manhattan,1.6666092320343258,1.0882080344718807,0.8360395201443893,115.27180767059326
ZScore,Cosine,1.8943122148901956,1.2743252791554656,0.7881762103316398,43.67230534553528
ZScore,Euclidean,1.9099281678310835,1.2910383453029746,0.7846694340770798,10.114686965942383
MinMax,Manhattan,1.952281338758649,1.350870929613453,0.7750135204197285,114.97429323196411
MinMax,Euclidean,2.1136273812415536,1.4855887074134178,0.7362888655252247,10.100756645202637
MinMax,Cosine,2.2569834607638106,1.6117974868004354,0.6993035039811946,43.394866943359375
N/A,Cosine (Content),2.685034251317619,2.0097370846033384,0.5744297363455084,102.83283686637878
ZScore,Chebyshev,2.6872798875806647,1.8935374716724829,0.5737175847911768,147.20453190803528
MinMax,Chebyshev,4.22563575434565,3.39403899372989,-0.05403669690127488,147.05837750434875
