primary_genre,Free,Cheap,Low,Mid,Premium,Luxury
Action,1624,2636,2673,1415,432,215
Indie,11449,37976,25240,6027,342,429
Simulation,439,644,1058,572,170,79
RPG,235,332,507,190,68,48
Strategy,351,559,794,285,79,28
Casual,1845,4707,3715,1318,200,42
Adventure,602,1089,1289,693,173,40
Sports,15,63,61,32,16,6
Other,33,19,25,7,1,0
Racing,21,101,75,28,13,2
Early Access,6,33,29,14,0,1
Free To Play,233,2,0,0,0,0
Massively Multiplayer,1,5,3,2,0,0
