,Revenue,Copies sold,Wishlists,Review Score,Review count,Followers,Average playtime,$ Price
Revenue,1.0,0.6118433255816489,0.730846517667532,0.2040534047619949,0.6704841866154652,0.7208562566578308,0.32255516397400025,0.6471909529459583
Copies sold,0.6118433255816489,1.0,0.788617001829083,0.33136126635810315,0.9530595106040392,0.862609019266781,0.5140732057299813,-0.11089813629097256
Wishlists,0.730846517667532,0.788617001829083,1.0,0.22302413013708716,0.8358641091291465,0.9310442971977821,0.3610426868390231,0.2383564897260515
Review Score,0.2040534047619949,0.33136126635810315,0.22302413013708716,1.0,0.312814522007397,0.21514640717510766,0.5312178181518583,-0.04925590316928377
Review count,0.6704841866154652,0.9530595106040392,0.8358641091291465,0.312814522007397,1.0,0.9010244090023953,0.453881553384891,0.0110976259673978
Followers,0.7208562566578308,0.862609019266781,0.9310442971977821,0.21514640717510766,0.9010244090023953,1.0,0.37063886515448813,0.15709694154041542
Average playtime,0.32255516397400025,0.5140732057299813,0.3610426868390231,0.5312178181518583,0.453881553384891,0.37063886515448813,1.0,-0.06832108543864276
$ Price,0.6471909529459583,-0.11089813629097256,0.2383564897260515,-0.04925590316928377,0.0110976259673978,0.15709694154041542,-0.06832108543864276,1.0
