Model,R²,RMSE,MAE
K-NN (ZScore + Manhattan),0.8360395201443893,1.6666092320343258,1.0882080344718807
Content-Based (Cosine),0.5744297363455084,2.685034251317619,2.0097370846033384
Hybrid Stacking,0.8388342159848391,1.6523445620691548,1.078186603666153
