Tip,Segment,Algoritma,MAPE,RMSE,MAE,Test_2024,Test_2025,Gercek_2024,Gercek_2025,Forecast_2026,Forecast_2027
Genre,Indie,Linear,2.702571408042757,0.10162670049730081,0.095136976458285,3.3512503988056324,3.666636460722202,3.4821217,3.607233809,3.9820225226388857,4.297408584555569
Genre,Indie,ARIMA,3.4707944954634375,0.13649155670719143,0.12399697402265986,3.4151746645012007,3.4261868964534794,3.4821217,3.607233809,3.427638844412181,3.427830281795984
Genre,Indie,HoltWinters,2.702571177569721,0.10162673208779263,0.09513696622497925,3.3512502919527236,3.666636333402682,3.4821217,3.607233809,3.98202237485264,4.2974084163025985
Genre,Indie,Prophet,2.7107282163294952,0.10207996397272279,0.0954164416714125,3.350428244898065,3.6663732372408897,3.4821217,3.607233809,3.9814549918997177,4.296536746558546
Genre,Indie,LightGBM,42.74848739377285,1.517218334511674,1.5159281693483275,2.0287495851516724,2.0287495851516724,3.4821217,3.607233809,2.0287495851516724,2.0287495851516724
Genre,Casual,Linear,7.148553538858293,0.033473887032688186,0.031696585983334524,0.4537939158333302,0.5057289488666612,0.411335009,0.526663214,0.5576639818999922,0.6095990149333375
Genre,Casual,ARIMA,35.12908825118303,0.1610858652160086,0.1602525995504826,0.5879509917490376,0.6705524303519276,0.411335009,0.526663214,0.7398333881635153,0.7979419537826504
Genre,Casual,HoltWinters,40.99650188264843,0.1891969969523147,0.1891916441767258,0.6019498290201701,0.7144316823332815,0.411335009,0.526663214,0.8269135356463928,0.9393953889595041
Genre,Casual,Prophet,7.133775416289617,0.03334508504133408,0.0316675621325172,0.45344576053982777,0.5054388412747934,0.411335009,0.526663214,0.5572898644121227,0.609140887549452
Genre,Casual,LightGBM,50.08565249356429,0.24531377086004638,0.2384401339046026,0.2305589775953974,0.2305589775953974,0.411335009,0.526663214,0.2305589775953974,0.2305589775953974
Genre,Action,Linear,16.711921529861517,1.5874816302934411,1.5141356955139047,7.06705950169453,7.66228182527766,8.104235008,9.65337771,8.257504148861017,8.852726472444374
Genre,Action,ARIMA,8.17669407879422,0.899017919350103,0.7620753058579273,7.819102515814881,8.414359590469264,8.104235008,9.65337771,9.009518650104958,9.604579710861115
Genre,Action,HoltWinters,16.711923459763618,1.5874817990346728,1.5141358670514071,7.067059347228787,7.662281636668398,8.104235008,9.65337771,8.25750392610801,8.852726215547623
Genre,Action,Prophet,16.73384351158934,1.589152501110886,1.5160282294141836,7.064719191232412,7.6608370679392195,8.104235008,9.65337771,8.255326207277978,8.849815346616733
Genre,Action,LightGBM,47.5378845444412,4.326152491460255,4.256246539097307,4.622559819902692,4.622559819902692,8.104235008,9.65337771,4.622559819902692,4.622559819902692
Genre,Adventure,Linear,19.175364852323217,0.08694789896003119,0.08594220613333248,0.4512378797777643,0.5042990360444293,0.523993944,0.405170688,0.5573601923110942,0.6104213485777592
Genre,Adventure,ARIMA,131.34198831705874,0.5955857191024533,0.5926150582436933,1.0571973742436933,1.0571973742436933,0.523993944,0.405170688,1.0571973742436933,1.0571973742436933
Genre,Adventure,HoltWinters,19.175355005515204,0.08694784899974396,0.08594218889905147,0.4512376799043907,0.5042988017024936,0.523993944,0.405170688,0.5573599235005965,0.6104210452986993
Genre,Adventure,Prophet,19.165136418163105,0.08689128504039552,0.08595425757225747,0.4507660771640543,0.5038513363085693,0.523993944,0.405170688,0.5567915537614325,0.6097317712142957
Genre,Adventure,LightGBM,50.2771326667392,0.2446790214636273,0.23735644504160364,0.22722587095839636,0.22722587095839636,0.523993944,0.405170688,0.22722587095839636,0.22722587095839636
Genre,Simulation,Linear,29.67689064357054,0.29206839936164974,0.29051001583888447,0.6539397582777724,0.7178435760444586,0.914318717,1.038484649,0.7817473938111164,0.8456512115777741
Genre,Simulation,ARIMA,19.79122001195413,0.19223653461986198,0.1911820688910259,0.7030293912796496,0.8674098369382985,0.914318717,1.038484649,0.8674098369382985,0.8674098369382985
Genre,Simulation,HoltWinters,10.124346306878575,0.09828530148108085,0.09790648590850975,0.8077912970194924,0.949199097163488,0.914318717,1.038484649,1.0906068973074838,1.2320146974514796
Genre,Simulation,Prophet,29.679244308831198,0.29208011926682903,0.29052868043046,0.6538546655920432,0.7178913395470368,0.914318717,1.038484649,0.7817530499119892,0.8456147602769419
Genre,Simulation,LightGBM,60.818547155101975,0.5986080701717018,0.5953799853936408,0.38102169760635923,0.38102169760635923,0.914318717,1.038484649,0.38102169760635923,0.38102169760635923
