Tip,Segment,Algoritma,MAPE,RMSE,MAE,Test_2024,Test_2025,Gercek_2024,Gercek_2025,Forecast_2026,Forecast_2027
Cluster,Cluster_6,ARIMA,2.794286407504036,0.4091127074209713,0.3980728819621877,13.510308945879531,15.465003961044845,13.206635153,14.97253199,17.17358214940007,18.66703222886238
Cluster,Cluster_0,ARIMA,13.215313785995475,0.1551441356544104,0.11983745800000001,1.1080714281112294,1.1080714281112294,0.889701303,1.129376219,1.1080714281112294,1.1080714281112294
Cluster,Cluster_9,HoltWinters,25.250293515180054,0.014767026857238639,0.013490650384312686,0.04083757047922698,0.04998829471060161,0.033352537,0.069484562,0.059139018941976235,0.06828974317335086
Cluster,Cluster_5,HoltWinters,25.858276997582657,0.014151627907347333,0.013958900524601414,0.06287737309913391,0.08102985095006891,0.046590884,0.069398539,0.09918232880100392,0.1173348066519389
Genre,Indie,HoltWinters,2.702571177569721,0.10162673208779263,0.09513696622497925,3.3512502919527236,3.666636333402682,3.4821217,3.607233809,3.98202237485264,4.2974084163025985
Genre,Strategy,Prophet,5.445191325483694,0.018466118527555933,0.015115496283785862,0.2971598720357756,0.31435365846820384,0.271436864,0.318861643,0.3315004673420735,0.3486472762159432
Genre,Casual,Prophet,7.133775416289617,0.03334508504133408,0.0316675621325172,0.45344576053982777,0.5054388412747934,0.411335009,0.526663214,0.5572898644121227,0.609140887549452
Genre,Action,ARIMA,8.17669407879422,0.899017919350103,0.7620753058579273,7.819102515814881,8.414359590469264,8.104235008,9.65337771,9.009518650104958,9.604579710861115
Genre,Simulation,HoltWinters,10.124346306878575,0.09828530148108085,0.09790648590850975,0.8077912970194924,0.949199097163488,0.914318717,1.038484649,1.0906068973074838,1.2320146974514796
Genre,Adventure,Prophet,19.165136418163105,0.08689128504039552,0.08595425757225747,0.4507660771640543,0.5038513363085693,0.523993944,0.405170688,0.5567915537614325,0.6097317712142957
Genre,RPG,ARIMA,20.219768690268612,0.1672630943100505,0.12097300581753276,0.4125758370045909,0.36782794136034364,0.418039213,0.604310577,0.3538615850988392,0.34950251738369986
Genre,Racing,Linear,32.82003046609333,0.00507220679011924,0.004999175847222137,0.00974510402777784,0.010596513277777886,0.015601906,0.014738063,0.011447922527777932,0.012299331777777756
Genre,Sports,HoltWinters,54.789094940205416,0.02889724937187016,0.027442623621282063,0.018564932755823542,0.02451828300161233,0.036954743,0.06101372,0.030471633247401115,0.0364249834931899
